Tanggal,Rating,Review
07 Dec 2024,5,"Moisturizer somethinc ini aku suka banget. Karena tekstur nya lembab, bikin kulit aku makin cerah bercahaya. Cocok banget di kuliat aku yang sensitif. Di muka aku bikin tambah glowing juga. Kandungan moisturizer yang bisa buat kulit kita makin kencang."
07 Dec 2024,5,One n only product yg aku pake & bersahabat di wajah aku cuma somethinc❤️ awal beli offline & di kasih tau temen coba suruh beli di online dan ternyataa lebih murah yah ramah dompet😂 lovee banget pokoknya! Dan ga lupa juga selalu cek review di female daily sebelum beli produk apapun itu🙌
07 Dec 2024,5,Bentuknya cair dan tidak lengket.
07 Dec 2024,4,Product somethinc ga pernah ngecewain sih!! Ini serum bagus bgt dan engga overclaim menurut ku. Karna dulu aku kusam bgt mukanya karna suka panas2an tapi pas pake ini jadi berkurang bgt. Trs mukanya jadi bersih juga dan bikin muka glowing!! Kalian harus coba
07 Dec 2024,4,Awalnya aku cari cari di sosial media serum untuk mencerahkan dan ngilangin bruntusan di muka aku. Dan banyak yang review serum ini bagus banget untuk mencerahkan. Setelah aku coba 1 bulan belum terlihat di muka aku dan aku coba beli lagi dan ternyata ngefek banget di aku. Sampai sekarang aku pake serum ini
07 Dec 2024,5,"Aku cocok banget pake ini kulit menjadi lebih cerah dan membersih kan kulit lebih cepat dari make up, buat kalian yang masih bingung mau cari micilar water aku saranin pake ini udah markotop banget nget nget wajib dan harus pake ini yaaaaaaa"
07 Dec 2024,5,"Keren banget sih, bener-bener cocok di muka . Dua minggu aja udah keliatan banget hasilnya. Muka lebih cerah, jerawat berkurang. Trus bekas nya pudar dong. Bener-bener nggak nyesel sih nyoba ini hasilnya langsung keliatan tanpa takut nggak cocok nya. Keren deh"
07 Dec 2024,5,"cocok banget buat kulitku. Teksturnya ringan, nggak bikin lengket, dan gampang banget meresap ke kulit. Cocok banget dipakai di pagi hari sebelum makeup atau malam hari sebelum tidur."
07 Dec 2024,5,"Produk ini sangat bagus, dari segi teksturnya sangat bagus formulanya sehingga membuat kulit menjadi lembut, serum ini sangat berguna untuk wajah sehingga sangat baik dan membuat wajah menjadi sangat lembut dan mendapatkan hasil yang bagus dan baik"
06 Dec 2024,4,"pilihan yang cocok untuk para pemula yang mencari serum multifungsi dengan harga terjangkau. Produk ini membantu mencerahkan dan menjaga kelembapan kulit tanpa efek samping serius. Namun, hasil untuk bekas jerawat membutuhkan waktu lebih lama. Dengan sedikit perbaikan pada formula untuk kulit acne-prone"
06 Dec 2024,5,"serum mencerahkan sangat bagus hasilnya ada, recomended banget untuk yang skincare yang mencerahkan. harga nya juga mahasiswa friendly. beli produknya bisa dimana mana bisa di ecom manapun dan sering ada diskon diskon. pokoknya worth it"
06 Dec 2024,5,Serum niacinamed yg aku suka bangett. Apalagi dari somethinc jadi gk bakal overclaim dan untuk tekstur sendiri ini tuh ringan dan gampang menyerap di kulit jdi rekomen banget sih buat kamu yang pemula dan mau nyobain serum noacinamed yg bagus
06 Dec 2024,5,"Buat yang punya masalah bekas jerawat dan kukut kusam, kalian bisa pakai serum ini. Aku udah pakai produk ini lumayan lama dan hasilnya bener-bener bagus di aku, kulit jadi lebih cerah dan bekas jerawat pun memudar. Kandungan di serum ini juga bagus"
06 Dec 2024,5,"Bagus banget untuk kulit aku yang kering jadi terlihat lebih lembab, dan sehat. kalian harus banget coba ini ! dan membuat kulit aku jadi tampak lebih cerah juga, dengan memakai ini secara rutin the best banget ini prodak pokoknya aku love love"
06 Dec 2024,5,"Udah sebulan coba Somethinc Niacinamide + Moisture Sabi Beet Serum dan serius, ini jadi salah satu produk skincare favorit aku! Awalnya beli karena kulit aku lagi kusam banget dan ada bekas jerawat yang susah hilang. Pas baca kandungannya, ada niacinamide 10% yang terkenal buat mencerahkan kulit, plus ekstrak beetroot buat hidrasi. Langsung tertarik coba, deh."
06 Dec 2024,5,"Pertama kali tau product ini waktu jakarta x beauty yang di senayan city. Terus dapet freebies nya juga waktu itu. Eh gataunya cocok dan sampe sekarang masih pake ini. Aku pake yg kandungan niacin nya 10%, cocok untungnya dan lumayan bikin cerah"
06 Dec 2024,5,"Plis produk ini ngaruh banget buat yang kulitnya kaya badak susah cerah, jadi ini bagus banget buat yang pengen cepet cerah apalagi yang 10x bikin cerah dan ga bikin kusam muka juga , setelah pake serum ini make up juga ga ngekrack sama sekali"
06 Dec 2024,5,"paling bagus deh ini serumnya, buat muka jadi mulus bagus dipake di malam hari. trus untuk pemakaiannya bisa dipke setiap hari dan ga bikin muka jadi merah atau gimana, pokoknya bagus, pokoknya rekomen deh buay pake ini suka banget sama somethinc"
06 Dec 2024,5,"bagus banget melembabkan kulit, pokoknya recommend banget! kalian harus beli gaakan nyesel deh. ayo pake ini apalagi kalau kulit kering. super melembabkan dan membuat tekstur kulit kenyal juga memperbaiki skin bareier aku. thank u nature republic"
06 Dec 2024,5,"bagusssss banget produknya bisa semu jenis kulit pakenya bisa pagi dan malam enak bgt di pakenya, kalian harus coba wajib banget coba..produk nya enak banget di pakenya ini aku kasih rekomendasi udah 3 minggu pake udah ada perubahan banget"
06 Dec 2024,2,"Serum ini menurut kubterlalu besar kandungan nya untuk pemula jadi menurut ku kalian jangan beli ini jika masih pemula, lebih baik cari kandungan niacinamide nya yg masih kecil karen alebih cocok untuk pemula. Salah urutan pakai nya bisa buat wajah tumbuh jerawat"
06 Dec 2024,5,"cocok banget buat kulitku. Teksturnya ringan, nggak bikin lengket, dan gampang banget meresap ke kulit. Cocok banget dipakai di pagi hari sebelum makeup atau malam hari sebelum tidur."
06 Dec 2024,5,"Serum Niacinamide dari Somethinc ini bagus banget untuk kalian yang punya masalah kulit kusam, karena mengandung niacinamide yang mampu mencerahkan kulit dengan minim kemungkinan tidak cocok karena persentasenya yang kecil, worth buat dicoba!"
06 Dec 2024,5,sangat kenyal dan produk tersebug membuat muka aku menjadi lembab dan tidak berstrektur dengan memakai produk terssebyt muka aku jadi lebih cerah dan kenyal produk iji membantu wajah aku lebih glow agar lebih enak dan mudah dibawa serat harga terjangkau
06 Dec 2024,5,"satu satunya serum yang cepet banget khasiatnya itu ada serum ini, 3 bulan pake brand lain gaada perubahan tapi pake somethinc cuma 1 minggu say muka gue langsung cerahan dan tidak kusam. love u somethinc❤️"
06 Dec 2024,5,"Serum somethinc terfavorit aku sejauh ini, mengandung 10% niacinamide yang bantu kulit aku jadi carah, udah satu tahun pake ini serum, dan belim ada niatan buat ganti ke serum lain, karena cocok banget dikulit dan work banget bikin kulit aku jadi lebih cerah"
05 Dec 2024,5,"Serum niacinamide ke sukaan an ku ini, produk ini secara perlahan berhasil mencerahkan muka ku yg dulu kusam. Di layer pake retinol juga ok banget. Mungkin kendala nya di tekstur nya yg agak gimana gitu butuh waktu buat produk nya nyerap..."
05 Dec 2024,4,"Aku suka banget sama serum somethinc ini, dia beneran bikin kulit aku cerah setelah pemakaian selama seminggu, untuk tekstur nya juga ngga yang bikin lengket di kulit, harganya juga ramah di kantong yang dan karena serum ini banyak di jual di berbagai macam ecommerce maupun toko offline ngebuat kita lebih mudah untuk mendapatkanya"
05 Dec 2024,5,"Ampuh sekali dalam mencerahkan, melembabkan kulit muka saya yang kering. Ga bikin iritasi apalagi untuk kulit saya yang sensitif aman sekali, saya sudah repurchase berkali kali karena hasilnya yang memuaskan tidak pernah mengecewakan."
05 Dec 2024,5,"Teksturnya enak dipakai, tidak lengket. Mudah diaplikasikan ke wajah dan gampang meresap ke kulit. Baunya juga enak. Membantu untuk mencerahkan dan melembutkan kulit. Tidak membuat ketergantungan atau breakout saat dipakai secara rutin"
05 Dec 2024,5,"Bagus banget produknya. Serumnya mantul parah langsung nyerep gak lengket sama sekali. Terus berasa glowing juga habis pakai. Gak bikin perih kaya serum pencerah lainnya. Worth it banget buat serum mencerahkan, harga juga terjangkau."
05 Dec 2024,5,"bagusss bangettttt bikin wajahh jauhhh lebihhh. Cerahh,lembabb dan tidakk keringg pastinyaaa. Karenaaa bahann yang digunakan pastinyaa sangatlahh berkualitas dan saya sendirii sebagai konsumenn sangat merasa puas dengan produk yang saya pakai"
05 Dec 2024,5,"kerenn ini produk bs rekomendasi sekali ya kawan kawan keren ini bs melembabkan kulit sangan direkomendasikan untuk kita yg kulit kering jadi ya emg kalian harus beli sih rugi banget kalo ga beli, gampang ditemuin jg jadi ya gitu deh gausah ribet2 ngmg dah lgsung gas beli dengan harga yg terjangkau"
05 Dec 2024,5,"Serum brightening pertamaa kuuu!!!!, bagusss bangeet ternyataaa, sukaa, mencerahkannyaa dapat bangeet, gak rungii buat belii, harus pada nyobaiiin sekarangg, gak mengecewakan pokok nyaaa maah, kulit kombinasi kayak akuu pasti cocok"
05 Dec 2024,4,"udah pake serum ini dari tahun 2021, satu satunya serum yang sampe sekarang masih suka aku beli dan pake soalnya serum ini aman bgt di kulit aku dan lumayan bantu mudarin bekas jerawat tp emg butuh waktu lama"
05 Dec 2024,5,"SOMETHINC Niacinamide + Moisture Sabi Beet Max efektif mencerahkan kulit, mengurangi bekas jerawat, dan melembapkan. Cepat menyerap tanpa lengket, cocok untuk semua jenis kulit! Cepat meresap, tidak lengket, dan aman untuk kulit sensitif. Hasil glowing dengan pemakaian rutin!"
05 Dec 2024,5,"Somethinc serum adalah salah satu produk skincare lokal yang terkenal karena kualitasnya yang setara dengan merek internasional. Serum ini hadir dalam beberapa varian yang disesuaikan dengan kebutuhan kulit, seperti hidrasi, anti-aging, atau mengatasi jerawat."
05 Dec 2024,5,"paling bagus deh ini serumnya, buat muka jadi mulus bagus dipake di malam hari. trus untuk pemakaiannya bisa dipke setiap hari dan ga bikin muka jadi merah atau gimana, pokoknya bagus, pokoknya rekomen deh buay pake ini suka banget sama somethinc"
05 Dec 2024,5,"Aku pake ini semua sama keluarga aku juga mama papa adek aku kaka aku juga btw emang semua pada cocok si sama haha tapi emang pertama agak pueging dulu agak kesel deh :"" tapi sekarang malah pada cocok semua eh aeneng banhet deh beneran jadi pengen repurchase lagi"
05 Dec 2024,5,"cocok buat kulit berminyak dan sensitif, gak bikin beruntusan atau jerawatan. setelah pemakaian ga nimbulin kemerahan sama sekali. sebenernya banyak yg pebih murah tp somethinc aman banget dan ga too much claim sih. masih selalu pkai sampe skrg"
05 Dec 2024,5,Sangatlah bagus untuk mencerahkan dan memudarkan bekas jerawat. Pemakaian 1 - 2 bulan langsung terlihat perbedaannya. Recomendeed untuk pemula. Digunakan 2x sehari setiap hari untuk manfaat yang lebih cepat. Dikolaborasikan dengan serum dna sel yang biru
04 Dec 2024,5,"Produk juara aku! Cinta banget sama produk ini dan sudah aku pake bertahun-tahun, cepet banget untuk meredakan jerawat yang lagi meradang dan pastinya membantu mencerahkan kulit. Kemasannya juga garibett, gampang banget buat dipakai."
04 Dec 2024,4,"Kemasannya bagus, karena bentuknya pump jadi memudahkan setiap pemakaian. Ada kemasan yang kecil dan besar jadi menyesuaikan kebutuhan. Teksturnya gak lengket, cepat menyerap di kulit gak nunggu lama untuk pakai step skin care lainnya. Membantu menyamarkan bekas jerawat, gak perih."
04 Dec 2024,5,"Ini serum no gimmick! Beneran ampuh untuk menghilangkan bekas jerawat. Bikin bekas jerawat pudar, terutama untuk jerawat yang merah bikin merahnya mereda. Bikin kulit terlihat lebih cerah juga dan nyaman dipakai. Gak ada rasa gatal atau cekit-cekit. Dan ga ada wangi apapun."
04 Dec 2024,5,"This product is pretty good for my acne scars, i use this serum evwry nigjt and it makes my face much better, it doesn't give me bad side effects or some burns at the end, also this product gonna be my fav product to clearing my acne scars"
04 Dec 2024,5,"Teksturnya sangat mudah meresap dan terasa ringan saat di pakai ,lumayan efektif buat mencerahkan dan lumayan awet karna pemakaian nya cukup 1-2 pump untuk seluruh wajah serum ini sangat efektif apalagi jika di pakai secara rutin dan di padukan dengan moist calmdown!"
03 Dec 2024,4,"so far so good ya di wajah aku tapi gak terlalu gong banget, gak kayak produk-produk serum dari brand-brand yang lain. teksturnya enak, cair kadi mudah meresap di wajah. menirit aku baunya juga gak ganggu sama sekali. kadang serumnya keluar sedikit dari packagingnya."
02 Dec 2024,5,Serum termantul buat brightening muka ku. Mantap sih pake aman pemula juga. Tp emang prosesnya lama sih buat mencerahkannya. So far so good. Dan progress nya ada sih. Keren bgt somethinc. Dan secara tekstur nya memang agak lengket tp udahannya menyerap di kulit
01 Dec 2024,5,Ini bagus banget!!
30 Nov 2024,4,"aku tadinya pake yg 5% niacinamide. udah abis 2 botol serum, dan lumayan ada efeknya di kulit muka aku, terus coba yg 10% ini. karena di botol kedua yg 5% muka aku stuck gak lebih cerah. dan pake yg 10% ini lumayan bikin lebih cerah. tapi harus aku imbangin sama pemakaian night cream aku biar lebih keliatan hasilnya. kalo cuma serumnya aja masih kurang nampol di muka aku. mudah meresap di kulit aku yg oily acneprone. dan aku pake ke muka kondisi masih lembab. mau repurchase lagi tapi mikir2 lagi hehehe karena mau coba merk lain dgn harga yg lebih ramah dikantong dan hasil yg sama. yg ini lumayan nguras kantong pegawai dgn gaji dibawah UMR ini hehehehehe"
21 Nov 2024,3,"Tekstur serum ini cair, mudah meresap dan ringan dipakai mudah diaplikasikan di wajah tapi agak lengket setelah dipakai untuk mencerahkan wajah belum terlalu kelihatan di aku mungkin harus pakainya rutin"
16 Nov 2024,5,"Wajah jadi lebih cerahan dan ngga gampang kusam kaya biasanya. Cuma ngga yang mencerahkan banget gitu, cuma bantu biar ngga kusam. Melembab kan nya mantep, kadang kalo pake pagi ngga aku tambahin moisturizer lagi. Walaupun lembabnya dapet tapi tetep ngga lengket, tekstur nya mudah meresap dan ringan sekali. Harganya sekitar 90 ribuan untuk yang isi 20 ml, cukup buat 2 bulanan."
16 Nov 2024,5,
16 Nov 2024,4,"awal somethinc launching aku langsung beli ini karena emang wajah aku butuh banget, kusam bekas jerawat kulit kering, di bantai sih sama ini, tpi harus rajin pakenya so far ini bagus, but isinya dikit dan ya mnrt aku agak pricey sih..."
14 Nov 2024,5,"Serum nyaa bagus, di kulit aku langsung ada perubahan pake rutin ya guys, tekstur ga terlalu cair, ga lengket. Mencerahkan nya cepat bgt, aku suka bgt serum yg ini, masih terus repurchase serum ini."
14 Nov 2024,5,"niacin pertama yang aku beli yg 5%. cocok di mukaku karena lumayan bikin cerah. ga inget sih udah abis berapa botol, kayaknya udah 2 sih, setelah itu coba yg 10% karena waktu itu mukaku kusam parah 🥲 dia teksturnya kyk serum biasa sih, cepat meresap dan ga lengket. imo yg 5% cocok buat pemula"
14 Nov 2024,5,"Aku dapet serum ini karna gratisan beli face wash gentongnya, tadinya ga berharap lebih tapi ternyata aman banget dikulit aku yang sensitif oily acne prone! Ga iritas purging dsb, sampai hari ini masih aku pakai di pagi hari. Untuk hasilnya masih blm engeh sih karna ga into banget"
14 Nov 2024,4,Aku pake niacinamide yang 5% ini udah abis sekarang jadi naik ke 10% karena ngerasa cocok muka aku jadi lebih cerah dan warna kulitnya perlahan mulai rata. untuk penggunanya biasanya aku pake malam hari dan dipadukan dengan retinol combo banget pagi-pagi bangun muka udah kinclong aja. Tapi selain itu aku pake ini tiap hari kalo di padukan dengan retinol seminggu 2/3 kali.
12 Nov 2024,5,"Serumnya cocok di aku buat permasalah bekas jerawat dan noda membandel aku udah pakai beberapa ini ngebantu bgt jadi bekas jerawat aku sedikit sedikit jadi tersamarkan , paling susah emang klo ngilangin bekas jerawat teksturnya aga sedikit kental menurut ku"
03 Nov 2024,5,"Aku pake produk ini saat wajah breakout parah. Jerawat mendem, kusam, kering. Produknya bagus, lama habisnya juga. Wajah jadi cerah glowing gitu. Produknya ringan di wajah. Cepat menyerap. Packaging nya bagus ga buat tumpah sembarangan."
03 Nov 2024,5,"Dengan harga yang sangat affordable serum ini sangat cocok bagi semua kalangan maupun mulai dari remaja hingga orangtua. Serum ini sangat mampu atau cocok bagi wajah saya yang kusam, worth it banget membuat wajah saya menjadi lebih cerah"
03 Nov 2024,5,"dari sekian banyak serum ini yang paling ngaruh di wajah ku cocok deh dengan produk ini kualitas sesuai dengan harga, cepat meresap dan tidak bikin berminyak dan bisa di kombinasi dengan skincare yang lain tidak lengket dan sangat rekomendasi"
